,id,createdtime,username,tweets
0,1407125388837462019,2021-06-21 23:56:50,rickzdany,RT @cyioscorp: $CYIO @HelioLending #coindesk interview today with @arrington and @PropyInc discussing #HelioLending #RealEstate #NFT and #c…
1,1407125343241187332,2021-06-21 23:56:39,microcapcompany,RT @cyioscorp: $CYIO @HelioLending #coindesk interview today with @arrington and @PropyInc discussing #HelioLending #RealEstate #NFT and #c…
2,1407123464906018819,2021-06-21 23:49:11,ayyzeee7,"Well we should be going to Pluto now, not just the Moon 😁🚀

#Bitcoin #BNB #BTT #Coinbase #Coindesk #cryptocurrency #ADA #Matic #Safemoon #Aquagoat #Shibacoin #ShibaArmy #Dogecoin #Dogearmy #XRP #Ethereum  https://t.co/4bXF4AwoqP"
3,1407121962384740363,2021-06-21 23:43:13,ayyzeee7,"Those dips are what usually gets us to ATH’s.
Only a few understand!

#Bitcoin #BNB #BTT #ADA #Coinbase #coindesk #Cryptocurency #Dogecoin #dogearmy #ethereum #SAFEMOON #SAFEMOONARMY #ShibaArmy #ShibaCoin #XRP"
4,1407112361215995905,2021-06-21 23:05:04,talha65497156,RT @AliRehmaa: Mera yeh issue a raha hain is leay may sub ko follow back kar pa rahi dory bhht hoty hain phir dismiss a jata hain.sorry is…
5,1407103061093408768,2021-06-21 22:28:07,Salman434343,RT @AliRehmaa: Pakistan is will be going become largest growing industry of crypto in future InshaaAllah. lets promote Pakistan.Follow me 😊…
6,1407099236047544327,2021-06-21 22:12:55,patelmaulik,"Nearly there now #Hodl ers, next stop is at 30k. #Bitcoin #Bitfinex #Coinbase #CoinDesk @CNBC #BTC #BTCUSD @Bitcoin"
7,1407096006077038592,2021-06-21 22:00:05,BTCticker,One Bitcoin now worth $31504.917. Market Cap $590.408 Billion. Based on #coindesk BPI #bitcoin
8,1407080736465862657,2021-06-21 20:59:24,saqib92464042,RT @AliRehmaa: Pakistan is will be going become largest growing industry of crypto in future InshaaAllah. lets promote Pakistan.Follow me 😊…
9,1407065813161553925,2021-06-21 20:00:06,BTCticker,One Bitcoin now worth $32583.779. Market Cap $610.623 Billion. Based on #coindesk BPI #bitcoin
10,1407064376503324675,2021-06-21 19:54:24,Majid11002677,"Let's make a fastest crypto nation with  
#TenupNation 
#ShoaibAkhtarInCrypto 
#cointelegraph #coindesk
#CNBC https://t.co/d2vmyotFem"
11,1407058524513968128,2021-06-21 19:31:08,bnlish,RT @SamlovesCrypto: Here's a thought #cryptonians if there is so much fear in the market about a crash why don't you buy a lil something of…
12,1407053835785412610,2021-06-21 19:12:30,ibad700,"RT @HaniyaKhan21: #cointelegraph #coindesk #CNBC
You guys watch the world's number one Crypto Exchange #TenUpNation #Tenup.io INSHALLAH Com…"
13,1407053755548409871,2021-06-21 19:12:11,ibad700,RT @AbdulRe33088214: We will do that I am Abdul Rehman how do an international crypto media #cointelegraph #coindesk  #CNBC is ignoring thi…
14,1407053698665259012,2021-06-21 19:11:58,ibad700,RT @AliRehmaa: Shoaib Akhter fastest blower in the world #coindesk #CBNA #ShoaibAkhtarInCrypto  #ShoaibAkhtarNFT  #cointelegraph #waqarzaka…
15,1407053465302491138,2021-06-21 19:11:02,ibad700,"RT @FakharAbbasSh18: #ShoaibAkhtarNFT
#TenupNation
#cointelegraph
#coindesk
Let's Follow Each Others."
16,1407053291767406592,2021-06-21 19:10:21,ibad700,RT @Farooqmughal971: #ShoaibAkhtarInCryptoShoaib Akhter fastest blower in the world #coindesk #CBNA #ShoaibAkhtarInCrypto  #ShoaibAkhtarNFT…
17,1407049376837603329,2021-06-21 18:54:47,IntisabMughal,RT @ceekish: #ShoaibAkhtarInCrypto Great news for pakistanis should be highlighted around the globe as the fastest bowler is supporting cry…
18,1407048910774865928,2021-06-21 18:52:56,HaseebP74266723,"RT @NomanIq80072195: Welcome the pacer and superstar of Pakistan on crypto platform.
#ShoaibAkhtarNFT 
#coindesk 
#cointelegraph https://t.…"
19,1407048876536864769,2021-06-21 18:52:48,HaseebP74266723,"RT @la3la5: #ShoaibAkhtarNFT
#coindesk 
#cnn big news coming soon🔥✌🏻 https://t.co/czTtOhF9fa"
20,1407048843171090439,2021-06-21 18:52:40,HaseebP74266723,"RT @AzizkhanFahad: #ShoaibAkhtarNFT #coindesk 
Greatest bowler ever produced legend speed machine https://t.co/5kvVBNFGRv"
21,1407048227829002245,2021-06-21 18:50:13,hassandawar11,RT @AliRehmaa: Pakistan is will be going become largest growing industry of crypto in future InshaaAllah. lets promote Pakistan.Follow me 😊…
22,1407041327028711430,2021-06-21 18:22:48,babar_akhund,RT @AliRehmaa: Pakistan is will be going become largest growing industry of crypto in future InshaaAllah. lets promote Pakistan.Follow me 😊…
23,1407039994687115270,2021-06-21 18:17:30,Jeo43281023,RT @AliRehmaa: Mera yeh issue a raha hain is leay may sub ko follow back kar pa rahi dory bhht hoty hain phir dismiss a jata hain.sorry is…
24,1407039504490369025,2021-06-21 18:15:34,AliRehmaa,Mera yeh issue a raha hain is leay may sub ko follow back kar pa rahi dory bhht hoty hain phir dismiss a jata hain.sorry is leay🙏🙏#nftcommunity #waqarzaka #cointelegraph #coindesk https://t.co/s4z40DEAlE
25,1407038374981124099,2021-06-21 18:11:04,AhmedDanial313,"RT @SyedaAnaAli1: #ShoaibAkhtarNFT 
#coindesk
#Cointelegraph  #CNN #bbcnews 
#ShoaibAkhtar 
One of the most super fastest bowler of the wor…"
26,1407036728603557892,2021-06-21 18:04:32,KamranM72186258,"RT @FakharAbbasSh18: #ShoaibAkhtarNFT
#TenupNation
#cointelegraph
#coindesk
Let's Follow Each Others."
27,1407036483496775689,2021-06-21 18:03:33,KamranM72186258,RT @Farooqmughal971: #ShoaibAkhtarInCryptoShoaib Akhter fastest blower in the world #coindesk #CBNA #ShoaibAkhtarInCrypto  #ShoaibAkhtarNFT…
28,1407035608636272649,2021-06-21 18:00:05,BTCticker,One Bitcoin now worth $32266.283. Market Cap $604.671 Billion. Based on #coindesk BPI #bitcoin
29,1407032687127371779,2021-06-21 17:48:28,Farooqmughal971,#ShoaibAkhtarInCryptoShoaib Akhter fastest blower in the world #coindesk #CBNA #ShoaibAkhtarInCrypto  #ShoaibAkhtarNFT  #cointelegraph #waqarzaka
30,1407027379931914246,2021-06-21 17:27:23,FakharAbbasSh18,"#ShoaibAkhtarNFT
#TenupNation
#cointelegraph
#coindesk
Let's Follow Each Others."
31,1407026687276105731,2021-06-21 17:24:38,Awais_Mustafa90,RT @AliRehmaa: Pakistan is will be going become largest growing industry of crypto in future InshaaAllah. lets promote Pakistan.Follow me 😊…
32,1407022579962060807,2021-06-21 17:08:18,ijazweeter,"RT @HaniyaKhan21: #cointelegraph #coindesk #CNBC
You guys watch the world's number one Crypto Exchange #TenUpNation #Tenup.io INSHALLAH Com…"
33,1407022355730341899,2021-06-21 17:07:25,aizaz13252122,RT @AliRehmaa: Shoaib Akhter fastest blower in the world #coindesk #CBNA #ShoaibAkhtarInCrypto  #ShoaibAkhtarNFT  #cointelegraph #waqarzaka
34,1407021929417121796,2021-06-21 17:05:43,ijazweeter,RT @AliRehmaa: Shoaib Akhter fastest blower in the world #coindesk #CBNA #ShoaibAkhtarInCrypto  #ShoaibAkhtarNFT  #cointelegraph #waqarzaka
35,1407019370153381888,2021-06-21 16:55:33,AliRehmaa,Shoaib Akhter fastest blower in the world #coindesk #CBNA #ShoaibAkhtarInCrypto  #ShoaibAkhtarNFT  #cointelegraph #waqarzaka https://t.co/baxdak4xPX
36,1407018983904133124,2021-06-21 16:54:01,AliRehmaa,RT @AliRehmaa: Pakistan is will be going become largest growing industry of crypto in future InshaaAllah. lets promote Pakistan.Follow me 😊…
37,1407017942353649664,2021-06-21 16:49:53,AbdulRe33088214,We will do that I am Abdul Rehman how do an international crypto media #cointelegraph #coindesk  #CNBC is ignoring this such news #shoaibakhterincrypto #ShoaibAkhtarNFT  #zakawaqar #ShoaibAkhtar https://t.co/0N3DQccUk0
38,1407017918785802242,2021-06-21 16:49:47,aizaz13252122,"RT @SyedaAnaAli1: #ShoaibAkhtarNFT 
#coindesk
#Cointelegraph  #CNN #bbcnews 
#ShoaibAkhtar 
One of the most super fastest bowler of the wor…"
39,1407017910481084420,2021-06-21 16:49:45,aizaz13252122,RT @AliRehmaa: Pakistan is will be going become largest growing industry of crypto in future InshaaAllah. lets promote Pakistan.Follow me 😊…
40,1407017416014565381,2021-06-21 16:47:47,AliRehmaa,"Pakistan is will be going become largest growing industry of crypto in future InshaaAllah. lets promote Pakistan.Follow me 😊😊😊
#coindesk #cointelegraph #ShoaibAkhtarInCrypto"
41,1407014237541736448,2021-06-21 16:35:09,HaniyaKhan21,"RT @HaniyaKhan21: #cointelegraph #coindesk #CNBC
You guys watch the world's number one Crypto Exchange #TenUpNation #Tenup.io INSHALLAH Com…"
42,1407013808397340673,2021-06-21 16:33:27,HaniyaKhan21,"#cointelegraph #coindesk #CNBC
You guys watch the world's number one Crypto Exchange #TenUpNation #Tenup.io INSHALLAH Coming Soon 
#ShoaibAkhtarincrypto
#ShoaibAkhtarNFT #waqarzaka #waqarzakaprivategroup #news https://t.co/TrhdnUDMMA"
