,id,createdtime,username,tweets
0,1407112411253903377,2021-06-21 23:05:16,GMjkaoru,"@GoogolCoin Thank you for making this opportunity. Hopefully this project will be successful.

@mask_lady_
@aspara_fish
@crypto_air_
@HaruCoinlove
@road_to_neet

#GOOG #Airdrop #BNB #BSC $GOOG"
1,1407064223805591552,2021-06-21 19:53:47,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/NlsB7V9szS
2,1407056670359011328,2021-06-21 19:23:46,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/1QPMYcjVYt
3,1407022098459992065,2021-06-21 17:06:24,HarryshuShu1,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
4,1407019883838066688,2021-06-21 16:57:36,MKayuhan,"@GoogolCoin Good luck. Togheter to the moon

@JRNYcrypto
@Safebite_crypto
@AisyahHijanah
@aisyahnawawi
@CryptoGrlfriend

#Airdrops #bsc #GOOG"
5,1406996890567155718,2021-06-21 15:26:14,Charlot53053143,"RT @WebullGlobal: Don’t miss the opportunity to own a share of #GOOG, #FB or #SBUX! Open and fund a brokerage account and receive 2 FREE st…"
6,1406995811565662211,2021-06-21 15:21:56,VIEVenus01,"@GoogolCoin Good job💐💐
@TonyNgocMinh 
@anhbaby2x 
@Hi64055910 
@Ngthuylinh96 
#GOOG #Airdrop #BNB   #BSC   $GOOG"
7,1406977477637857288,2021-06-21 14:09:05,dailytradingapp,"#Briefs #GOOG Curiosity Ink Media, Cepia Collaborate To Transform Cats vs. Pickles Into An Original Series https://t.co/hNM1RIpa6W https://t.co/5CQ11keATy"
8,1406966073015123971,2021-06-21 13:23:46,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/lslXbWDOuX
9,1406960751764406282,2021-06-21 13:02:37,MMMD610013,"FAANG parted ways, Apple Netflix has fallen behind.
Apple and Netflix are doing badly-not only underperformed the market, but their earnings so far this year are also negative, falling 1.7% and 7.4%, respectively.
#AAPL #NFLX #GOOG #FB #AMZN https://t.co/WLyuyyDmlH"
10,1406958523234361345,2021-06-21 12:53:46,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/2QUdgNLRUN
11,1406923511097004033,2021-06-21 10:34:39,alpine1600sc,Google (Short it) - #GOOG TradingView https://t.co/RWt96VCMLQ
12,1406914169140559877,2021-06-21 09:57:31,Kamalji36523099,"RT @WebullGlobal: Don’t miss the opportunity to own a share of #GOOG, #FB or #SBUX! Open and fund a brokerage account and receive 2 FREE st…"
13,1406860375975473152,2021-06-21 06:23:46,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/aRxKc5TloX
14,1406780308142231553,2021-06-21 01:05:36,Luckyma98943074,"@GoogolCoin The concept of this is project is excellent. $GOOG is on many exchanges and in time it will break all the levels to be in galaxy @vu@AhmadSaprawi @AnnisaDell @bttsuongvn @hannahmotana18 

#GOOG #Airdrop #BNB  #BSC  $GOOG"
15,1406762230390177795,2021-06-20 23:53:46,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/m5cQOrnSN7
16,1406751472000196611,2021-06-20 23:11:01,Momo72572036,"@GoogolCoin Go to moon $GOOG 

@bitmann007
@crypto1comm
@barui_paly
@AirCrypto8
@nclmlkyrc

#GOOG #Airdrop #BNB  #BSC  $GOOG"
17,1406743752048189443,2021-06-20 22:40:21,wrdgvn,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
18,1406709253042212879,2021-06-20 20:23:15,eduWallStreet,"WATCH INVESTING PERFORMANCE STOCK INDEXES, SECTORS AND FAANG ETF INVESTI... https://t.co/cCagAgfia9 via @YouTube 

#TECHNOLGY #BigTech #FAANG #AAPL #MSFT #AMZN #FB #GOOG #TSLA #NVDA #NFLX #BABA 

#SPX #SPY #ES #ES_F
#NQ #NQ_F #NDX #QQQ
$DJI $DIA $YM_F
#RTY_F #RUT #IWM"
19,1406671632794595329,2021-06-20 17:53:46,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/jRPLUzDgmN
20,1406670640422146048,2021-06-20 17:49:50,AndiWib44289989,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
21,1406664085144588289,2021-06-20 17:23:47,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/ipzkP81OgS
22,1406573485762256896,2021-06-20 11:23:46,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/i0hjMaW5Jv
23,1406562591237890050,2021-06-20 10:40:29,Maryam14173242,"@GoogolCoin @azamrazi3 
@xSJNbql7o8Tv5Fp 
@SaeidDerakhsha3 @RezaBasl 
@Rouhani_ir 
#GOOG #Airdrop #BNB  #BSC  $GOOG"
24,1406555971573354501,2021-06-20 10:14:10,riiicil,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
25,1406545201347252226,2021-06-20 09:31:23,Duong55112217,"@GoogolCoin The concept of this is project is excellent. $GOOG is on many exchanges and in time it will break all the levels to be in galaxy 🚀🚀

@PhmTm57439175
@LeeNguy37485465
@BeerKhanh
@nguyenkebao
@BiXunHa9

#GOOG #Airdrop #BNB  #BSC  $GOOG"
26,1406515314838306825,2021-06-20 07:32:37,Min97987312,@GoogolCoin Good 🚀 @willypriyoko @Bowby_MrBee @Fxye14 @sanseiro81 @RickEMears  #GOOG #Airdrop #BNB #BSC $GOOG
27,1406505739884003329,2021-06-20 06:54:34,Trungpr11547778,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
28,1406487314704998401,2021-06-20 05:41:21,RuaBassist,"@GoogolCoin Thank you for making this opportunity. Hopefully this project will be successful.

@cogiaotrangsexy 
@starvieira 
@ElvisCristt 
@UzzalAhmad6 
@LuongThuyHuong2 

#GOOG #Airdrop #BNB #BSC $GOOG"
29,1406486529673940992,2021-06-20 05:38:14,SauraAnna1,"RT @WebullGlobal: Start your investing journey on #Webull with FREE stocks! You may have a chance of owning a #GOOG, #FB, or #SBUX stock!"
30,1406465527606697985,2021-06-20 04:14:47,Chenche16549124,"@GoogolCoin A good project and strong team, in a predictable and transparent road map, planned and projected.I think in the near future I will see an authentic growth of this project
@AleksandraStaks
@ALERUSIK
@VaRile_YokArasi
@alifakhari
@VladimirShipic1

#GOOG #Airdrop #BNB   #BSC   $GOOG"
31,1406449295876780032,2021-06-20 03:10:17,IYCMatar,#Goog  morning
32,1406401565355773956,2021-06-20 00:00:37,FanaDoge,"@GoogolCoin The concept of this is project is excellent. $GOOG is on many exchanges and in time it will break all the levels to be in galaxy 🚀🚀🚀

@AvPrima
@kbjdove1
@Its_Fauzan
@HariiSuharto
@Boengsu6

#GOOG #Airdrop #BNB   #BSC   $GOOG"
33,1406389559517085696,2021-06-19 23:12:55,Yama29754919,"@GoogolCoin The concept of this is project is excellent. $GOOG is on many exchanges and in time it will break all the levels to be in galaxy RocketRocket
@AdamRam30439057
@KADIVRESKANIT
@Boday75325784
@ar071201
@Ronaldi_99
@zoya2288
@jinggeone

#GOOG #Airdrop #BNB  #BSC  $GOOG"
34,1406383928840101888,2021-06-19 22:50:32,NgoQuangHung16,"@GoogolCoin Thank you for making this opportunity. Hopefully this project will be successful.

@richardosman 
@terrycrews 
@rioferdy5 
@luisnani 
@D_DeGea 

#GOOG #Airdrop #BNB #BSC $GOOG"
35,1406377193601650694,2021-06-19 22:23:46,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/P5lrxYTGYH
36,1406369641870594057,2021-06-19 21:53:46,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/NxosSkOfGA
37,1406344583475204096,2021-06-19 20:14:11,FionaLe04390038,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
38,1406335439624155137,2021-06-19 19:37:51,kulinichwrld,"@GoogolCoin let's participate this is a good project🚀🚀🚀
@Fitri6913
@CryptoJeka
@nguyenhoang285
@vasil69388099
@Arkadii23068228

#BSC #BNB #GOOG"
39,1406285508599332874,2021-06-19 16:19:27,Shamah77777,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
