,id,createdtime,username,tweets
0,1.40929e+18,21-06-2021 23:18,diglu_music,"#Fender
#Fenderjapan
#Stratocaster
＃ストラト
#TexasSpecial
#ヤフオク
#Yahoo
#buyee
#ギター
#guitar
#中古楽器
#used
#usedguitar

RT if you like it！

https://t.co/GLPcTuyCTW"
1,1.40928e+18,21-06-2021 22:52,durixekale3,RT @Sleemdaddy10: It's Monday⛲....start before you're ready cos you can never be too ready to start📝 #Bitcoin #crypto #bokoharam #malik #bu…
2,1.40926e+18,21-06-2021 21:04,doyourememberwh,A Little Golden Book Eloise Wilkins Mother Goose Authentic LG Book produced for Chick fil a https://t.co/v8acncvZIm #doyourememberwhen #Etsy #Yahoo https://t.co/T6sA6unZEQ
3,1.40925e+18,21-06-2021 20:28,starrfischl,RT @childedefender: happy #kameraday #yahoo https://t.co/73IbJ77UEQ
4,1.40925e+18,21-06-2021 20:23,ginacrook,RT @roar1968: 1988 Greenall Whitley H'Cap Chase - Yahoo #yahoo https://t.co/PMh7d5dDZE
5,1.40924e+18,21-06-2021 19:55,childedefender,happy #kameraday #yahoo https://t.co/73IbJ77UEQ
6,1.40924e+18,21-06-2021 19:52,roar1968,1988 Greenall Whitley H'Cap Chase - Yahoo #yahoo https://t.co/PMh7d5dDZE
7,1.40916e+18,21-06-2021 14:22,Eurynomestolas,"RT @CryptoDouce: What is the new #MultiVAC Blockchain ?

Read, understand and invest $MTV

#kucoin #PancakeSwap #yahoo #BTC #ETH #Crypto #C…"
8,1.40915e+18,21-06-2021 13:48,reza97437375,"RT @CryptoDouce: What is the new #MultiVAC Blockchain ?

Read, understand and invest $MTV

#kucoin #PancakeSwap #yahoo #BTC #ETH #Crypto #C…"
9,1.40915e+18,21-06-2021 13:46,analystcryto,"RT @CryptoDouce: What is the new #MultiVAC Blockchain ?

Read, understand and invest $MTV

#kucoin #PancakeSwap #yahoo #BTC #ETH #Crypto #C…"
10,1.40915e+18,21-06-2021 13:46,CryptoDouce,"What is the new #MultiVAC Blockchain ?

Read, understand and invest $MTV

#kucoin #PancakeSwap #yahoo #BTC #ETH #Crypto #CryptoNews #cryptotwitter #Stacking #Mining #dogecoin #shib #vet #XRP #KLS #alt #zil #EGLD #HARMONY #TRX #BNB #blockchain #BTT #Coinbase #elon #DODO $sushi https://t.co/3CAjIY0Sdp"
11,1.40914e+18,21-06-2021 13:34,DJ_Carly_B,"Who the fuck still using #Yahoo mail?
😂🤣😂🤣😂
My username was #billybiglovers ...

Growing up I wonder what was on my mind that time😅"
12,1.40914e+18,21-06-2021 13:10,S513_com,Zbuzzz Entertainment of Things.  Join us on Facebook for pure entertainment of things #Entertainment #Zbuzzz #internet #facebook #food #youtube #yahoo #instagram #news #netflix #hotels #travel Please Retweet  https://t.co/D4w2ID1nUM FBPB05G
13,1.40913e+18,21-06-2021 12:30,intonenetworks,"The clear blue sky above is something all of us want. Our wants can wait but not our needs. And thinking that way empowers you to work really hard!

#marissamayer #yahoo #ceo #motivation #quotesoftheday #famouspeoplequotes #inspirationalquotes #inspiringquotes #womenempowerment https://t.co/7KA9WfHku5"
14,1.40911e+18,21-06-2021 11:25,JuSomehow,"If I'm not reincarnated as a cat for my next life, i will riot. Being a cat is like experiencing royalty and a gap year at the same time. Social obligations? Nah. Moral obligations? Nah 

#vibes #yolo #yahoo"
15,1.40909e+18,21-06-2021 10:04,doyourememberwh,1964 Aerospace Research Laboratories Research On Analysis Of Variance and Related Topics United States Air Force https://t.co/hmeM7FAB9m #doyourememberwhen #Etsy #Yahoo https://t.co/o4x1rFNvKs
16,1.40906e+18,21-06-2021 08:04,doyourememberwh,Vintage Ted Williams 225 Fishing Reel https://t.co/qyK5i7T5D0 #Etsy #doyourememberwhen #Yahoo https://t.co/GiORTYjPk4
